step,experience_from,experience_to,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
1,0,2,520.00,530.50,551.50,583.50,629.00,688.50,729.00,806.00,883.50,961.00,1040.00
2,2,4,525.50,536.00,557.50,589.50,635.50,695.50,736.50,814.50,892.50,971.00,1050.50
3,4,6,530.50,541.50,563.00,595.50,642.00,702.50,744.00,822.50,901.50,980.50,1061.00
4,6,9,536.00,546.50,568.50,601.50,648.00,709.50,751.00,830.50,910.50,990.00,1071.50
5,9,12,543.50,554.50,576.50,610.00,657.50,719.50,762.00,842.50,923.50,1004.50,1087.00
6,12,15,551.50,562.50,585.00,619.00,667.00,730.00,773.00,854.50,937.00,1019.00,1102.50
7,15,18,559.00,570.50,593.00,627.50,676.50,740.50,784.00,866.50,950.00,1033.50,1118.00
8,18,21,567.00,578.50,601.50,636.50,686.00,750.50,795.00,879.00,963.50,1047.50,1134.00
9,21,24,575.00,586.50,609.50,645.00,695.50,761.00,806.00,891.00,976.50,1062.00,1149.50
10,24,28,582.50,594.50,618.00,654.00,704.50,771.50,816.50,903.00,990.00,1076.50,1165.00
11,28,32,593.00,605.00,629.00,665.50,717.50,785.00,831.50,919.00,1007.50,1096.00,1186.00
12,32,36,603.50,615.50,640.00,677.00,730.00,799.00,846.00,935.00,1025.00,1115.00,1206.50
13,36,40,614.00,626.00,651.00,689.00,742.50,812.50,860.50,951.50,1043.00,1134.00,1227.50
14,40,,624.00,637.00,662.00,700.50,755.00,826.50,875.00,967.50,1060.50,1153.50,1248.00
